553,342
726,286
278,228
989,149
578,112
407,153
280,344
909,64
118,278
129,166
249,139
848,213
945,236
343,107
260,292
198,136
51,128
455,116
529,118
189,286
837,272
68,35
774,229
786,163
886,144
280,164
676,332
724,93
782,118
1047,280
605,390
275,288
515,350
198,80
81,236
985,92
463,68
561,231
104,31
486,207
250,99
389,286
248,184
726,251
98,225
649,302
874,308
146,318
906,219
517,239
516,278
693,89
837,79
275,100
605,73
938,266
539,26
647,166
115,80
619,131
792,83
794,202
758,325
213,233
1016,223
521,167
357,64
480,256
825,127
433,332
451,166
893,274
972,291
387,51
958,64
1044,132
212,107
402,78
662,353
611,337
317,99
